NER Evaluation Details
========================================

--- anatomical_structures ---

[False Negatives (1): Entities missed by the pipeline]
  - Entity: 'hypocotyl', Type: anatomical_structures, Span: (27965, 27974)
  - Entity: 'doda', Type: genes, Span: (24644, 24648)
  - Entity: 'doda', Type: genes, Span: (24722, 24726)
  - Entity: 'doda', Type: genes, Span: (24781, 24785)
  - Entity: 'doda', Type: genes, Span: (26494, 26498)
  - Entity: 'doda', Type: genes, Span: (26587, 26591)
  - Entity: 'doda', Type: genes, Span: (26715, 26719)
  - Entity: 'doda', Type: genes, Span: (26832, 26836)
  - Entity: 'doda', Type: genes, Span: (27046, 27050)
  - Entity: 'doda', Type: genes, Span: (27683, 27687)
  - Entity: 'doda', Type: genes, Span: (30765, 30769)
  - Entity: 'doda', Type: genes, Span: (30946, 30950)
  - Entity: 'doda', Type: genes, Span: (31243, 31247)
  - Entity: 'doda', Type: genes, Span: (31863, 31867)
  - Entity: 'doda', Type: genes, Span: (34267, 34271)
  - Entity: 'doda', Type: genes, Span: (34347, 34351)
  - Entity: 'doda', Type: genes, Span: (34694, 34698)
  - Entity: 'doda', Type: genes, Span: (35451, 35455)
  - Entity: 'doda', Type: genes, Span: (35530, 35534)
  - Entity: 'doda', Type: genes, Span: (35664, 35668)
  - Entity: 'doda', Type: genes, Span: (36302, 36306)
  - Entity: 'doda', Type: genes, Span: (38496, 38500)
  - Entity: 'doda', Type: genes, Span: (38556, 38560)
  - Entity: 'doda', Type: genes, Span: (39267, 39271)
  - Entity: 'doda', Type: genes, Span: (43446, 43450)
  - Entity: 'doda', Type: genes, Span: (43495, 43499)
  - Entity: 'doda alpha', Type: genes, Span: (23936, 23946)
  - Entity: 'doda alpha', Type: genes, Span: (24223, 24233)
  - Entity: 'doda alpha', Type: genes, Span: (24644, 24654)
  - Entity: 'doda alpha', Type: genes, Span: (24722, 24732)
  - Entity: 'doda alpha', Type: genes, Span: (24781, 24791)
  - Entity: 'doda alpha', Type: genes, Span: (25467, 25477)
  - Entity: 'doda alpha', Type: genes, Span: (25532, 25542)
  - Entity: 'doda alpha', Type: genes, Span: (37319, 37329)
  - Entity: 'doda alpha', Type: genes, Span: (49855, 49865)
  - Entity: 'doda alpha', Type: genes, Span: (49978, 49988)
  - Entity: 'doda alpha', Type: genes, Span: (50233, 50243)
  - Entity: 'doda alpha', Type: genes, Span: (50323, 50333)
  - Entity: 'doda alpha', Type: genes, Span: (50401, 50411)
  - Entity: 'doda alpha', Type: genes, Span: (50525, 50535)
  - Entity: 'doda alpha', Type: genes, Span: (50786, 50796)
  - Entity: 'doda alpha', Type: genes, Span: (51010, 51020)
  - Entity: 'dodaalpha', Type: genes, Span: (4746, 4755)
  - Entity: 'dodaalpha', Type: genes, Span: (4869, 4878)
  - Entity: 'dodaalpha', Type: genes, Span: (4960, 4969)
  - Entity: 'dodaalpha', Type: genes, Span: (5676, 5685)
  - Entity: 'dodaalpha', Type: genes, Span: (5753, 5762)
  - Entity: 'dodaalpha', Type: genes, Span: (5835, 5844)
  - Entity: 'dodaalpha', Type: genes, Span: (6041, 6050)
  - Entity: 'dodaalpha', Type: genes, Span: (6142, 6151)
  - Entity: 'dodaalpha', Type: genes, Span: (6802, 6811)
  - Entity: 'dodaalpha', Type: genes, Span: (7025, 7034)
  - Entity: 'dodaalpha', Type: genes, Span: (7225, 7234)
  - Entity: 'dodaalpha', Type: genes, Span: (23330, 23339)
  - Entity: 'dodaalpha', Type: genes, Span: (23460, 23469)
  - Entity: 'dodaalpha', Type: genes, Span: (23625, 23634)
  - Entity: 'dodaalpha', Type: genes, Span: (29261, 29270)
  - Entity: 'dodaalpha', Type: genes, Span: (30233, 30242)
  - Entity: 'dodaalpha', Type: genes, Span: (30564, 30573)
  - Entity: 'dodaalpha', Type: genes, Span: (41199, 41208)
  - Entity: 'dodaalpha', Type: genes, Span: (41318, 41327)
  - Entity: 'dodaalpha', Type: genes, Span: (41353, 41362)
  - Entity: 'dodaalpha', Type: genes, Span: (41504, 41513)
  - Entity: 'dodaalpha', Type: genes, Span: (41718, 41727)
  - Entity: 'dodaalpha', Type: genes, Span: (41796, 41805)
  - Entity: 'dodaalpha', Type: genes, Span: (42357, 42366)
  - Entity: 'dodaalpha', Type: genes, Span: (45176, 45185)
  - Entity: 'dodaalpha', Type: genes, Span: (45242, 45251)
  - Entity: 'dodaalpha', Type: genes, Span: (45850, 45859)
  - Entity: 'dodaalpha', Type: genes, Span: (46616, 46625)
  - Entity: 'dodaalpha', Type: genes, Span: (46878, 46887)
  - Entity: 'dodaalpha', Type: genes, Span: (51958, 51967)
  - Entity: 'dodaalpha', Type: genes, Span: (53147, 53156)
  - Entity: 'dodaalpha', Type: genes, Span: (53378, 53387)
  - Entity: 'dodaalpha', Type: genes, Span: (53432, 53441)
  - Entity: 'dodaalpha', Type: genes, Span: (54705, 54714)
  - Entity: 'dodaalpha1', Type: genes, Span: (29489, 29499)
  - Entity: 'dodaalpha1', Type: genes, Span: (34831, 34841)
  - Entity: 'dodaalpha1', Type: genes, Span: (35324, 35334)
  - Entity: 'dodaalpha1', Type: genes, Span: (43101, 43111)
  - Entity: 'dodabeta', Type: genes, Span: (4760, 4768)
  - Entity: 'dodabeta', Type: genes, Span: (4970, 4978)
  - Entity: 'dodabeta', Type: genes, Span: (5763, 5771)
  - Entity: 'dodabeta', Type: genes, Span: (5987, 5995)
  - Entity: 'dodabeta', Type: genes, Span: (23344, 23352)
  - Entity: 'dodabeta', Type: genes, Span: (23643, 23651)
  - Entity: 'dodabeta', Type: genes, Span: (24588, 24596)
  - Entity: 'dodabeta', Type: genes, Span: (25450, 25458)
  - Entity: 'dodabeta', Type: genes, Span: (25514, 25522)
  - Entity: 'dodabeta', Type: genes, Span: (26130, 26138)
  - Entity: 'dodabeta', Type: genes, Span: (41030, 41038)
  - Entity: 'dodabeta', Type: genes, Span: (53365, 53373)
  - Entity: 'kcdodaalpha1', Type: genes, Span: (30457, 30469)
  - Entity: 'kcdodaalpha2', Type: genes, Span: (30474, 30486)
  - Entity: 'ligb', Type: genes, Span: (4613, 4617)
  - Entity: 'ligb', Type: genes, Span: (4706, 4710)
  - Entity: 'ligb', Type: genes, Span: (41924, 41928)
  - Entity: 'mccyp76ad1', Type: genes, Span: (33040, 33050)
  - Entity: 'mcdoda alpha 1', Type: genes, Span: (32978, 32992)
  - Entity: 'mcdoda alpha 1', Type: genes, Span: (35113, 35127)
  - Entity: 'mcdodaalpha1', Type: genes, Span: (28981, 28993)
  - Entity: 'mcdodaalpha1', Type: genes, Span: (38955, 38967)
  - Entity: 'mcdodaalpha2', Type: genes, Span: (29441, 29453)
  - Entity: 'mcdodaalpha2', Type: genes, Span: (29835, 29847)
  - Entity: 'mcdodaalpha2', Type: genes, Span: (39013, 39025)
  - Entity: 'mjcdopa-5gt', Type: genes, Span: (26979, 26990)
  - Entity: 'mjcdopa-5gt', Type: genes, Span: (31384, 31395)
  - Entity: 'mjdoda alpha 1', Type: genes, Span: (35097, 35111)
  - Entity: 'myb', Type: genes, Span: (32547, 32550)
  - Entity: 'myb', Type: genes, Span: (51573, 51576)
  - Entity: 'pgdoda', Type: genes, Span: (35139, 35145)
  - Entity: 'phybdodaalpha', Type: genes, Span: (38905, 38918)
  - Entity: 'pmdod', Type: genes, Span: (35129, 35134)
  - Entity: 'shdodaalpha1', Type: genes, Span: (28853, 28865)
  - Entity: 'shdodaalpha1', Type: genes, Span: (34901, 34913)
  - Entity: 'shdodaalpha1', Type: genes, Span: (38825, 38837)
  - Entity: 'shdodaalpha1', Type: genes, Span: (44588, 44600)
  - Entity: 'shdodaalpha2', Type: genes, Span: (30081, 30093)
  - Entity: 'shdodaalpha2', Type: genes, Span: (38841, 38853)

========================================

--- molecular_traits ---

[False Negatives (1): Entities missed by the pipeline]
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (34798, 34829)

[False Positives (9): Entities incorrectly predicted by the pipeline]
  - Entity: 'carboxyl methyltransferase', Type: molecular_traits, Span: (48634, 48660)
  - Entity: 'catalytic promiscuity', Type: molecular_traits, Span: (41767, 41788)
  - Entity: 'catalytic promiscuity', Type: molecular_traits, Span: (41815, 41836)
  - Entity: 'enzymatic function', Type: molecular_traits, Span: (48239, 48257)
  - Entity: 'l-dopa 4,5-dioxgenase activity', Type: molecular_traits, Span: (34198, 34228)
  - Entity: 'l-dopa 4,5-dioxgenase activity', Type: molecular_traits, Span: (34620, 34650)
  - Entity: 'l-dopa 4,5-dioxgenase activity', Type: molecular_traits, Span: (35406, 35436)
  - Entity: 'l-dopa 4,5-dioxygenase', Type: molecular_traits, Span: (5383, 5405)
  - Entity: 'luciferase gene', Type: molecular_traits, Span: (32076, 32091)

[True Positives (56): Entities correctly predicted]
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (153, 184)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (313, 344)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (711, 742)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (975, 1006)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (1037, 1068)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (1243, 1274)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (1546, 1577)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (4782, 4813)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (6399, 6430)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (6528, 6559)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (7115, 7146)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (7351, 7382)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (7653, 7684)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (7822, 7853)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (7943, 7974)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (8095, 8126)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (8251, 8282)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (8545, 8576)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (8691, 8722)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (25921, 25952)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (26042, 26073)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (28534, 28565)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (30708, 30739)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (37181, 37212)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (38575, 38606)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (40895, 40926)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (41136, 41167)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (41427, 41458)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (41550, 41581)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (42482, 42513)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (42586, 42617)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (43598, 43629)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (44021, 44052)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (44444, 44475)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (44770, 44801)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (45347, 45378)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (45490, 45521)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (45658, 45689)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (46003, 46034)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (46550, 46581)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (46938, 46969)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (47095, 47126)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (48125, 48156)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (50555, 50586)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (50914, 50945)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (51342, 51373)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (51853, 51884)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (51993, 52024)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (53182, 53213)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (53524, 53555)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (53794, 53825)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (54171, 54202)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (54264, 54295)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (54428, 54459)
  - Entity: 'l-dopa 4,5-dioxygenase activity', Type: molecular_traits, Span: (54751, 54782)
  - Entity: 'tyrosine hydroxylase activity', Type: molecular_traits, Span: (47474, 47503)

========================================

--- pathways ---

[False Negatives (5): Entities missed by the pipeline]
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (4397, 4418)
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (54099, 54120)
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (54978, 54999)
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (55448, 55469)
  - Entity: 'betalain synthesis', Type: pathways, Span: (4110, 4128)

[False Positives (3): Entities incorrectly predicted by the pipeline]
  - Entity: 'betacyanin production', Type: pathways, Span: (26944, 26965)
  - Entity: 'betalain', Type: pathways, Span: (754, 762)
  - Entity: 'betalain biosynthesis pathway', Type: pathways, Span: (54978, 55007)

[True Positives (15): Entities correctly predicted]
  - Entity: 'anthocyanin biosynthesis', Type: pathways, Span: (49020, 49044)
  - Entity: 'anthocyanin pathway', Type: pathways, Span: (3861, 3880)
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (244, 265)
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (25681, 25702)
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (33404, 33425)
  - Entity: 'betalain biosynthesis', Type: pathways, Span: (45052, 45073)
  - Entity: 'betalain biosynthetic pathway', Type: pathways, Span: (3886, 3915)
  - Entity: 'betalain biosynthetic pathway', Type: pathways, Span: (5215, 5244)
  - Entity: 'betalain pathway', Type: pathways, Span: (51487, 51503)
  - Entity: 'betalain pathway', Type: pathways, Span: (51678, 51694)
  - Entity: 'betalain pathway', Type: pathways, Span: (55164, 55180)
  - Entity: 'betalain synthesis', Type: pathways, Span: (1625, 1643)
  - Entity: 'betalamic acid biosynthesis', Type: pathways, Span: (47679, 47706)
  - Entity: 'caffeine biosynthesis', Type: pathways, Span: (48548, 48569)
  - Entity: 'flavonoid pathway', Type: pathways, Span: (2903, 2920)

========================================

--- plant_traits ---

[False Negatives (4): Entities missed by the pipeline]
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (21743, 21764)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (22411, 22432)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (40535, 40556)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (46180, 46201)

[False Positives (28): Entities incorrectly predicted by the pipeline]
  - Entity: 'anthocyanic', Type: plant_traits, Span: (23814, 23825)
  - Entity: 'anthocyanic', Type: plant_traits, Span: (24404, 24415)
  - Entity: 'anthocyanic', Type: plant_traits, Span: (30256, 30267)
  - Entity: 'anthocyanin', Type: plant_traits, Span: (3577, 3588)
  - Entity: 'anthocyanin', Type: plant_traits, Span: (3751, 3762)
  - Entity: 'anthocyanin pigmentation', Type: plant_traits, Span: (5152, 5176)
  - Entity: 'anthocyanin pigmentation', Type: plant_traits, Span: (50078, 50102)
  - Entity: 'anthocyanin pigmentation', Type: plant_traits, Span: (52425, 52449)
  - Entity: 'anthocyanin-pigmented', Type: plant_traits, Span: (782, 803)
  - Entity: 'anthocyanin-pigmented', Type: plant_traits, Span: (22925, 22946)
  - Entity: 'anthocyanin-pigmented', Type: plant_traits, Span: (23020, 23041)
  - Entity: 'betalain-pigmented', Type: plant_traits, Span: (754, 772)
  - Entity: 'betalain-pigmented', Type: plant_traits, Span: (5870, 5888)
  - Entity: 'betalain-pigmented', Type: plant_traits, Span: (23100, 23118)
  - Entity: 'betalain-pigmented', Type: plant_traits, Span: (23487, 23505)
  - Entity: 'betalain-pigmented', Type: plant_traits, Span: (26453, 26471)
  - Entity: 'betalain-pigmented', Type: plant_traits, Span: (35044, 35062)
  - Entity: 'pigmentation', Type: plant_traits, Span: (20772, 20784)
  - Entity: 'pigmentation', Type: plant_traits, Span: (21752, 21764)
  - Entity: 'pigmentation', Type: plant_traits, Span: (21814, 21826)
  - Entity: 'pigmentation', Type: plant_traits, Span: (21992, 22004)
  - Entity: 'pigmentation', Type: plant_traits, Span: (22420, 22432)
  - Entity: 'pigmentation', Type: plant_traits, Span: (29406, 29418)
  - Entity: 'pigmentation', Type: plant_traits, Span: (36149, 36161)
  - Entity: 'pigmentation', Type: plant_traits, Span: (40096, 40108)
  - Entity: 'pigmentation', Type: plant_traits, Span: (40544, 40556)
  - Entity: 'pigmentation', Type: plant_traits, Span: (46189, 46201)
  - Entity: 'pigmentation', Type: plant_traits, Span: (46234, 46246)

[True Positives (22): Entities correctly predicted]
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (2623, 2644)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (3660, 3681)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (3702, 3723)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (5102, 5123)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (8758, 8779)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (25110, 25131)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (28352, 28373)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (40633, 40654)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (42191, 42212)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (43033, 43054)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (44918, 44939)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (45567, 45588)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (46995, 47016)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (49204, 49225)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (49612, 49633)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (49767, 49788)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (50053, 50074)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (51386, 51407)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (51761, 51782)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (52519, 52540)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (54341, 54362)
  - Entity: 'betalain pigmentation', Type: plant_traits, Span: (54555, 54576)

========================================

--- species ---

[False Negatives (5): Entities missed by the pipeline]
  - Entity: 'b. vulgaris', Type: species, Span: (27539, 27550)
  - Entity: 'c. gigantea', Type: species, Span: (27552, 27563)
  - Entity: 'm. crystallinum', Type: species, Span: (27568, 27583)
  - Entity: 'm. crystallinum', Type: species, Span: (33731, 33746)
  - Entity: 's. halimifolium', Type: species, Span: (27522, 27537)

[False Positives (11): Entities incorrectly predicted by the pipeline]
  - Entity: 'caryophyllales', Type: species, Span: (7386, 7400)
  - Entity: 'caryophyllales', Type: species, Span: (8783, 8797)
  - Entity: 'caryophyllales', Type: species, Span: (22742, 22756)
  - Entity: 'coffea', Type: species, Span: (48573, 48579)
  - Entity: 'escherichia coli', Type: species, Span: (34486, 34502)
  - Entity: 'physenaceae', Type: species, Span: (23257, 23268)
  - Entity: 'ptilotus', Type: species, Span: (6870, 6878)
  - Entity: 'ptilotus hybrid', Type: species, Span: (36816, 36831)
  - Entity: 'stegnosperma', Type: species, Span: (34866, 34878)
  - Entity: 'stegnosperma', Type: species, Span: (37811, 37823)
  - Entity: 'thea', Type: species, Span: (48583, 48587)

[True Positives (106): Entities correctly predicted]
  - Entity: 'a. hypochondriacus', Type: species, Span: (32693, 32711)
  - Entity: 'a. hypochondriacus', Type: species, Span: (42904, 42922)
  - Entity: 'amaranthus hypochondriacus', Type: species, Span: (33665, 33691)
  - Entity: 'b. vulgaris', Type: species, Span: (6120, 6131)
  - Entity: 'b. vulgaris', Type: species, Span: (25233, 25244)
  - Entity: 'b. vulgaris', Type: species, Span: (25489, 25500)
  - Entity: 'b. vulgaris', Type: species, Span: (26167, 26178)
  - Entity: 'b. vulgaris', Type: species, Span: (29717, 29728)
  - Entity: 'b. vulgaris', Type: species, Span: (30138, 30149)
  - Entity: 'b. vulgaris', Type: species, Span: (40781, 40792)
  - Entity: 'b. vulgaris', Type: species, Span: (42279, 42290)
  - Entity: 'b. vulgaris', Type: species, Span: (42444, 42455)
  - Entity: 'b. vulgaris', Type: species, Span: (42706, 42717)
  - Entity: 'b. vulgaris', Type: species, Span: (55570, 55581)
  - Entity: 'beta vulgaris', Type: species, Span: (6065, 6078)
  - Entity: 'beta vulgaris', Type: species, Span: (26759, 26772)
  - Entity: 'beta vulgaris', Type: species, Span: (33693, 33706)
  - Entity: 'beta vulgaris', Type: species, Span: (36563, 36576)
  - Entity: 'c. gigantea', Type: species, Span: (25337, 25348)
  - Entity: 'c. gigantea', Type: species, Span: (25421, 25432)
  - Entity: 'c. gigantea', Type: species, Span: (26200, 26211)
  - Entity: 'c. gigantea', Type: species, Span: (29733, 29744)
  - Entity: 'c. gigantea', Type: species, Span: (37613, 37624)
  - Entity: 'c. gigantea', Type: species, Span: (38015, 38026)
  - Entity: 'c. gigantea', Type: species, Span: (40814, 40825)
  - Entity: 'c. litoralis', Type: species, Span: (24133, 24145)
  - Entity: 'c. litoralis', Type: species, Span: (24267, 24279)
  - Entity: 'c. quinoa', Type: species, Span: (32679, 32688)
  - Entity: 'c. quinoa', Type: species, Span: (42890, 42899)
  - Entity: 'c. ramosissimum', Type: species, Span: (24067, 24082)
  - Entity: 'c. ramosissimum', Type: species, Span: (30579, 30594)
  - Entity: 'c. ramosissimum', Type: species, Span: (50635, 50650)
  - Entity: 'cardionema ramosissimum', Type: species, Span: (31076, 31099)
  - Entity: 'cardionema ramosissimum', Type: species, Span: (36606, 36629)
  - Entity: 'carnegiea gigantea', Type: species, Span: (26774, 26792)
  - Entity: 'carnegiea gigantea', Type: species, Span: (36582, 36600)
  - Entity: 'chenopodium quinoa', Type: species, Span: (33708, 33726)
  - Entity: 'dianthus superbus', Type: species, Span: (36635, 36652)
  - Entity: 'gluconacetobacter diazotrophicus', Type: species, Span: (2518, 2550)
  - Entity: 'k. caespitosa', Type: species, Span: (24476, 24489)
  - Entity: 'k. caespitosa', Type: species, Span: (24764, 24777)
  - Entity: 'k. caespitosa', Type: species, Span: (30293, 30306)
  - Entity: 'k. caespitosa', Type: species, Span: (50461, 50474)
  - Entity: 'k. caespitosa', Type: species, Span: (50620, 50633)
  - Entity: 'kewa caespitosa', Type: species, Span: (31189, 31204)
  - Entity: 'kewa caespitosa', Type: species, Span: (36658, 36673)
  - Entity: 'l. aethiopicum', Type: species, Span: (24448, 24462)
  - Entity: 'l. aethiopicum', Type: species, Span: (24698, 24712)
  - Entity: 'l. aethiopicum', Type: species, Span: (50493, 50507)
  - Entity: 'limeum aethiopicum', Type: species, Span: (31151, 31169)
  - Entity: 'limeum aethiopicum', Type: species, Span: (36679, 36697)
  - Entity: 'm. australis', Type: species, Span: (24416, 24428)
  - Entity: 'm. australis', Type: species, Span: (24681, 24693)
  - Entity: 'm. australis', Type: species, Span: (30276, 30288)
  - Entity: 'm. australis', Type: species, Span: (50476, 50488)
  - Entity: 'm. australis', Type: species, Span: (50606, 50618)
  - Entity: 'm. crystallinum', Type: species, Span: (25281, 25296)
  - Entity: 'm. crystallinum', Type: species, Span: (25401, 25416)
  - Entity: 'm. crystallinum', Type: species, Span: (26180, 26195)
  - Entity: 'm. crystallinum', Type: species, Span: (29389, 29404)
  - Entity: 'm. crystallinum', Type: species, Span: (29505, 29520)
  - Entity: 'm. crystallinum', Type: species, Span: (32889, 32904)
  - Entity: 'm. crystallinum', Type: species, Span: (37593, 37608)
  - Entity: 'm. crystallinum', Type: species, Span: (37995, 38010)
  - Entity: 'm. crystallinum', Type: species, Span: (40794, 40809)
  - Entity: 'm. crystallinum', Type: species, Span: (43147, 43162)
  - Entity: 'm. crystallinum', Type: species, Span: (43277, 43292)
  - Entity: 'macarthuria australis', Type: species, Span: (30963, 30984)
  - Entity: 'macarthuria australis', Type: species, Span: (36738, 36759)
  - Entity: 'mesembryanthemum crystallinum', Type: species, Span: (26797, 26826)
  - Entity: 'mesembryanthemum crystallinum', Type: species, Span: (33528, 33557)
  - Entity: 'mesembryanthemum crystallinum', Type: species, Span: (36703, 36732)
  - Entity: 'mirabilis jalapa', Type: species, Span: (36765, 36781)
  - Entity: 'mirabilis jalapa', Type: species, Span: (55549, 55565)
  - Entity: 'n. benthamiana', Type: species, Span: (7728, 7742)
  - Entity: 'n. benthamiana', Type: species, Span: (25755, 25769)
  - Entity: 'nicotiana benthamiana', Type: species, Span: (4229, 4250)
  - Entity: 'nicotiana benthamiana', Type: species, Span: (26555, 26576)
  - Entity: 'nicotiana benthamiana', Type: species, Span: (30835, 30856)
  - Entity: 'p. campestris', Type: species, Span: (24087, 24100)
  - Entity: 'p. campestris', Type: species, Span: (24284, 24297)
  - Entity: 'p. exiguum', Type: species, Span: (24505, 24515)
  - Entity: 'p. exiguum', Type: species, Span: (24822, 24832)
  - Entity: 'p. tetraphyllum', Type: species, Span: (24035, 24050)
  - Entity: 'parakeelya mirabilis', Type: species, Span: (6843, 6863)
  - Entity: 'parakeelya mirabilis', Type: species, Span: (36837, 36857)
  - Entity: 'polycarpon tetraphyllum', Type: species, Span: (31036, 31059)
  - Entity: 'polycarpon tetraphyllum', Type: species, Span: (36863, 36886)
  - Entity: 'portulaca grandiflora', Type: species, Span: (36787, 36808)
  - Entity: 'portulaca grandiflora', Type: species, Span: (55526, 55547)
  - Entity: 's. arvensis', Type: species, Span: (24180, 24191)
  - Entity: 's. halimifolium', Type: species, Span: (25195, 25210)
  - Entity: 's. halimifolium', Type: species, Span: (25384, 25399)
  - Entity: 's. halimifolium', Type: species, Span: (26150, 26165)
  - Entity: 's. halimifolium', Type: species, Span: (40764, 40779)
  - Entity: 's. marina', Type: species, Span: (24166, 24175)
