Compound: l-DOPA | pathways: betalain biosynthesis
Compound: phenylalanine | genes: PgDODAalpha1
Compound: phenylalanine | genes: PhybDODAalpha
Compound: phenylalanine | genes: CYP76AD
Compound: phenylalanine | genes: ADHalpha
Compound: phenylalanine | molecular_traits: l-DOPA 4,5-dioxygenase activity
Compound: phenylalanine | molecular_traits: 4,5-dioxygenase activity
Compound: phenylalanine | molecular_traits: DODA activity
Compound: phenylalanine | molecular_traits: catalytic promiscuity
Compound: phenylalanine | molecular_traits: tyrosine hydroxylase activity
Compound: phenylalanine | species: Gluconacetobacter diazotrophicus
Compound: phenylalanine | species: Nicotiana benthamiana
Compound: phenylalanine | species: Beta vulgaris
Compound: phenylalanine | species: Parakeelya mirabilis
Compound: phenylalanine | species: S. arvensis
Compound: phenylalanine | species: S. marina
Compound: phenylalanine | species: K. caespitosa
Compound: phenylalanine | species: C. litoralis
Compound: phenylalanine | species: T. imperati
Compound: phenylalanine | species: M. australis
Compound: phenylalanine | species: L. aethiopicum
Compound: phenylalanine | species: P. exiguum
Compound: phenylalanine | species: P. tetraphyllum
Compound: phenylalanine | species: C. ramosissimum
Compound: phenylalanine | species: P. campestris
Compound: phenylalanine | species: M. crystallinum
Compound: phenylalanine | species: C. gigantea
Compound: phenylalanine | species: S. halimifolium
Compound: phenylalanine | species: C. quinoa
Compound: phenylalanine | species: A. hypochondriacus
Compound: phenylalanine | species: Dianthus superbus
Compound: phenylalanine | species: Portulaca grandiflora
Compound: phenylalanine | species: Ptilotus hybrid
Compound: phenylalanine | species: Mirabilis jalapa
Compound: phenylalanine | plant_traits: betalain pigmentation
Compound: phenylalanine | plant_traits: anthocyanin pigmentation
Compound: phenylalanine | plant_traits: pigment gain
Compound: phenylalanine | plant_traits: pigmentation state
Compound: phenylalanine | plant_traits: betacyanin pigmentation
Compound: phenylalanine | anatomical_structures: leaf
Compound: phenylalanine | anatomical_structures: hypocotyl
