Pathways	Pathways ID
hinokinin biosynthesis	PWY-7630
vernolate biosynthesis II	PWY-7634
maysin biosynthesis	PWY-5793
superpathway of jasmonoyl-amino acid conjugates biosynthesis	PWY-6234
"2,4,6-trinitrotoluene degradation"	PWY-6051
<i>cis</i>-abienol biosynthesis	PWY18C3-13
flavonoid di-C-glucosylation	PWY-7897
orientin and isoorientin biosynthesis I	PWY-7188
PRPP biosynthesis	PWY0-662
L-valine degradation I	VALDEG-PWY
spermidine hydroxycinnamic acid conjugates biosynthesis	PWY-6442
thiazole component of thiamine diphosphate biosynthesis III	PWY-6909
UDP-D-apiose biosynthesis (from UDP-D-glucuronate)	PWY-5113
suberin monomers biosynthesis	PWY-1121
ascorbate glutathione cycle	PWY-2261
baicalein metabolism	PWY-7212
chrysin biosynthesis	PWY-5363
robustaquinone biosynthesis	PWY-5809
L-arginine degradation V (arginine deiminase pathway)	ARGDEGRAD-PWY
D-sorbitol degradation I	PWY-4101
sporopollenin precursors biosynthesis	PWY-6733
polymethylated quercetin glucoside biosynthesis II - quercetagetin series (Chrysosplenium)	PWY-7151
solasodine and soladulcidine biosynthesis	PWY18C3-2
<i>all-trans</i>-farnesol biosynthesis	PWY-6859
pentose phosphate pathway (non-oxidative branch) I	NONOXIPENT-PWY
UDP-galactose biosynthesis (salvage pathway from galactose using UDP-glucose)	GALACTMETAB-PWY
salicylate glucosides biosynthesis III	PWY-6624
"3,5-dimethoxytoluene biosynthesis"	PWY-7076
propanethial <i>S</i>-oxide biosynthesis	PWY-5707
superpathway of L-isoleucine biosynthesis I	PWY-3001
pyridoxal 5'-phosphate biosynthesis II	PWY-6466
ethene biosynthesis I (plants)	ETHYL-PWY
CDP-diacylglycerol biosynthesis II	PWY0-1319
stellariose and mediose biosynthesis	PWY-6525
genistin gentiobioside biosynthesis	PWY-7145
<i>S</i>-adenosyl-L-methionine salvage II	PWY-5041
mannitol degradation II	PWY-3861
wax esters biosynthesis II	PWY-5885
L-serine biosynthesis II	PWY-8011
marneral biosynthesis	PWY-6005
fatty acid biosynthesis initiation (type II)	PWY-4381
saponin biosynthesis III	PWY-5759
indole-3-acetate inactivation III	PWY-1981
lawsone biosynthesis	PWY-5801
cadmium transport I	PWY-6213
UDP-glucose biosynthesis (from sucrose)	PWYQT-4438
(4<i>R</i>)-carvone biosynthesis	PWY-5928
solasodine glycosylation	PWY18C3-4
gibberellin inactivation III (epoxidation)	PWY-6494
urea cycle	PWY-4984
tetrapyrrole biosynthesis I (from glutamate)	PWY-5188
superpathway of flavones and derivatives biosynthesis	PWY-6266
salicylate glucosides biosynthesis IV	PWY-6762
pterostilbene biosynthesis	PWY-6665
glutaminyl-tRNA<sup>gln</sup> biosynthesis via transamidation	PWY-5921
CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-1269
triacylglycerol biosynthesis (Chlamydomonas)	PWYIO2-7
polyisoprenoid biosynthesis	PWYQT-4449
biotin biosynthesis from 8-amino-7-oxononanoate I	PWY0-1507
emetine biosynthesis	PWY-7135
"avenacin biosynthesis, initial reactions"	PWY-6115
<i>ortho</i>-quinones biosynthesis	PWY-6752
indole glucosinolate activation (intact plant cell)	PWYQT-4477
coniferin metabolism	PWY-116
Calvin-Benson-Bassham cycle	CALVIN-PWY
phenylpropanoids methylation (ice plant)	PWY-7498
pentose phosphate pathway	PENTOSE-P-PWY
phytochelatins biosynthesis	PWY-6745
icosapentaenoate biosynthesis I (lower eukaryotes)	PWY-6958
superpathway of acylsucrose biosynthesis (wild tomato)	PWY18C3-17
"aliphatic glucosinolate biosynthesis, side chain elongation cycle"	PWYQT-4450
3&beta;-hydroxysesquiterpene lactone biosynthesis	PWY-7497
naringenin glycoside biosynthesis	PWY-5094
colchicine biosynthesis	PWY-5846
labdenediol and sclareol biosynthesis	PWY18C3-18
"C4 photosynthetic carbon assimilation cycle, NADP-ME type"	PWY-241
camalexin biosynthesis	CAMALEXIN-SYN
2-oxoglutarate decarboxylation to succinyl-CoA	PWY-5084
umbelliferone biosynthesis	PWY-6982
carnosate bioynthesis	PWY-7680
phosphate acquisition	PWY-6348
bisbenzylisoquinoline alkaloid biosynthesis	PWY-5472
olivetol biosynthesis	PWY-6295
gentisate 5-<i>O</i>-&beta;-<i>D</i>-xylopyranoside biosynthesis	PWY18C3-20
superpathway of glandular trichomes produced diterpenoids (tobacco)	PWY18C3-14
urea degradation II	PWY-5704
lotaustralin degradation	PWY-6002
guanine and guanosine salvage III	PWY-6618
"phosphatidate metabolism, as a signaling molecule (Chlamydomonas)"	PWYIO2-6
rosmarinic acid biosynthesis II	PWY-5049
choline biosynthesis II	PWY-3542
diacylglycerol biosynthesis (PUFA enrichment in oilseed)	PWY-6804
L-glutamate biosynthesis V	PWY-4341
patchoulol biosynthesis	PWY-6258
serotonin and melatonin biosynthesis I	PWY-6030
<i>ent</i> -kaurene biosynthesis II	PWY-6653
abietic acid biosynthesis	PWY-5411
delphinidin diglucoside biosynthesis (acyl-glucose dependent)	PWY-7260
indole-3-acetate inactivation I	PWY-1961
D-serine metabolism	PWY-6196
sulfite oxidation IV (sulfite oxidase)	PWY-5326
seleno-amino acid detoxification and volatilization III	PWY-6933
UTP and CTP dephosphorylation I	PWY-7185
L-tryptophan biosynthesis	TRPSYN-PWY
genistein conjugates interconversion	PWY-2345
prunasin and amygdalin biosynthesis	PWY-7824
L-aspartate biosynthesis	ASPARTATESYN-PWY
gentiodelphin biosynthesis	PWY-5307
glutathione-mediated detoxification II	PWY-6842
"caffeine degradation I (main, plants)"	PWY-6552
phospholipases (Chlamydomonas)	PWYIO2-5
daidzein conjugates interconversion	PWY-2343
rose anthocyanin biosynthesis I (via cyanidin 5-<i>O</i>-&beta;-<i>D</i>-glucoside)	PWY-5160
dTDP-L-rhamnose biosynthesis II	PWY-3221
caffeine biosynthesis I	PWY-5037
mimosine biosynthesis	PWY-4985
sesquiterpenoid phytoalexins biosynthesis	PWY-2961
aloesone and aloesin biosynthesis	PWY-4801
methylbutenol biosynthesis	PWY-6913
L-phenylalanine biosynthesis II	PWY-3462
3-carene biosynthesis	PWY-6451
oryzalide A biosynthesis	PWY-7481
<i>trans</i>-lycopene biosynthesis II (oxygenic phototrophs and green sulfur bacteria)	PWY-6475
adlupulone and adhumulone biosynthesis	PWY-7857
L-threonine biosynthesis	HOMOSER-THRESYN-PWY
esculetin modification	PWY-7058
&beta;-pyrazole-1-ylalanine biosynthesis	PWY-4961
allantoin degradation to glyoxylate I	PWY-5694
purine deoxyribonucleosides salvage	PWY-7224
lychnose and isolychnose biosynthesis	PWY-6524
isoflavonoid biosynthesis II	PWY-2083
lactucaxanthin biosynthesis	PWY-5175
maackiain conjugates interconversion	PWY-2701
copper transport II	PWY-6137
starch degradation II	PWY-6724
"benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)"	PWY-6443
ammonium transport	PWY-5986
glucosinolate biosynthesis from phenylalanine	PWY-2821
methylerythritol phosphate pathway I	NONMEVIPP-PWY
UDP-&alpha;-D-galactose biosynthesis	PWY-7344
esterified suberin biosynthesis	PWY-7120
phosphatidylcholine acyl editing	PWY-6803
alkane biosynthesis II	PWY-7033
1-methylpyrrolinium biosynthesis	PWY-5315
coptisine biosynthesis	PWY-8030
plaunotol biosynthesis	PWY-6691
superpathway of adenosine nucleotides <i>de novo</i> biosynthesis I	PWY-7229
pectin degradation III	PWY-1081
phytate degradation I	PWY-4702
phosphatidylglycerol biosynthesis I	PWY4FS-7
L-asparagine degradation I	ASPARAGINE-DEG1-PWY
L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	PWY-5651
glucosinolate biosynthesis from pentahomomethionine	PWYQT-4474
fatty acid biosynthesis initiation (plant mitochondria)	PWY-6799
6'-deoxychalcone metabolism	PWY-5161
DIBOA-glucoside biosynthesis	PWY-6949
"(7Z,10Z,13Z)-hexadecatrienoate biosynthesis"	PWY-7590
superpathway of lipoxygenase	PWY-5433
indole-3-acetate activation II	PWY-1921
DIMBOA-glucoside activation	PWY-4441
gibberellin biosynthesis II (early C-3 hydroxylation)	PWY-5036
A series fagopyritols biosynthesis	PWY-5380
L-methionine degradation I (to L-homocysteine)	METHIONINE-DEG1-PWY
bixin biosynthesis	PWY-5305
pinitol biosynthesis I	PWY-6738
betacyanin biosynthesis	PWY-5399
&alpha;-solanine/&alpha;-chaconine biosynthesis	PWY-5666
aerobic respiration I (cytochrome c)	PWY-3781
L-proline biosynthesis III (from L-ornithine)	PWY-3341
aromatic  glucosinolate activation	PWY-6684
digitoxigenin biosynthesis	PWY-6032
thymine degradation	PWY-6430
acetate and ATP formation from acetyl-CoA II	PWY-5535
dimethylsulfoniopropanoate biosynthesis II (Spartina)	PWY-6055
vernolate biosynthesis I	PWY-6014
&beta;-caryophyllene biosynthesis	PWY-6275
methylquercetin biosynthesis	PWY-6064
chlorophyll cycle	PWY-5068
germacrene biosynthesis	PWY-5733
allantoin degradation to glyoxylate II	PWY-5692
8-oxo-(d)GTP detoxification I	PWY-6502
cyanide degradation	P401-PWY
dimethylsulfoniopropanoate degradation I (cleavage)	PWY-6046
flavonol biosynthesis	PWY-3101
glycolysis IV	PWY-1042
formononetin conjugates interconversion	PWY-2904
flavonol acylglucoside biosynthesis II - isorhamnetin derivatives	PWY-7171
ponciretin biosynthesis	PWY-5118
docosahexaenoate biosynthesis I (lower eukaryotes)	PWY-7053
ubiquinol-10 biosynthesis (late decarboxylation)	PWY-5872
diterpene phytoalexins precursors biosynthesis	PWY-2981
tetrahydroxyxanthone biosynthesis (from 3-hydroxybenzoate)	PWY-5002
"(1,4)-&beta;-D-xylan degradation"	PWY-6717
seleno-amino acid detoxification and volatilization I	PWY-6931
adenosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7219
D-mannose degradation I	MANNCAT-PWY
ureide biosynthesis	URSIN-PWY
hinokiresinol biosynthesis	PWY-7632
sapienate biosynthesis	PWY-5362
guanosine deoxyribonucleotides <i>de novo</i> biosynthesis I	PWY-7226
glycyrrhetinate biosynthesis	PWY-7066
purine uptake	PWY-6227
betaxanthin biosynthesis	PWY-5426
pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I	PWY-7184
apigenin glycosides biosynthesis	PWY-6010
phenylethanol glycoconjugate biosynthesis	PWY-7074
thiamine diphosphate biosynthesis IV (eukaryotes)	PWY-6908
pinolenate and coniferonate biosynthesis	PWY-7152
L-alanine biosynthesis III	PWY0-1021
selinene biosynthesis	PWY-6294
homocysteine and cysteine interconversion	PWY-801
&gamma;-coniciene and coniine biosynthesis	PWY-5748
glutathione degradation	PWYQT-4432
phospholipases	LIPASYN-PWY
vanillin biosynthesis I	PWY-5665
"1,4-dihydroxy-2-naphthoate biosynthesis II (plants)"	PWY-5791
tetraacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-11
capsaicin biosynthesis	PWY-5710
"formate assimilation into 5,10-methylenetetrahydrofolate"	PWY-1722
papaverine biosynthesis	PWY-7363
caffeoylglucarate biosynthesis	PWY-6673
laudanine biosynthesis	PWY-5471
superpathway of anthocyanin biosynthesis (from cyanidin and cyanidin 3-<i>O</i>-glucoside)	PWY-5313
phylloquinol biosynthesis	PWY-5027
guanosine ribonucleotides <i>de novo</i> biosynthesis	PWY-7221
2-oxoisovalerate decarboxylation to isobutanoyl-CoA	PWY-5046
quercetin diglycoside biosynthesis (pollen-specific)	PWY-7192
lanosterol biosynthesis	PWY-6132
flavonoid biosynthesis	PWY1F-FLAVSYN
3-dehydroquinate biosynthesis I	PWY-6164
ajugose biosynthesis II (galactinol-independent)	PWY-5343
L-alanine biosynthesis II	ALANINE-SYN2-PWY
hydroxyjasmonate sulfate biosynthesis	PWY-6235
volatile cinnamoic ester biosynthesis	PWY-4201
stearate biosynthesis II (bacteria and plants)	PWY-5989
gallate biosynthesis	PWY-6707
astaxanthin biosynthesis (flowering plants)	PWY-7636
crocetin esters biosynthesis	PWY-5398
<i>N</i>-hydroxy-L-pipecolate biosynthesis	PWY-7861
costunolide biosynthesis I	PWY-5745
DIMBOA-glucoside biosynthesis	PWY-6950
UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)	PWY-63
indole-3-acetate inactivation VIII	PWY-5784
superpathway of ammonia assimilation (plants)	PWY-3282
TCA cycle II (plants and fungi)	PWY-5690
stachyose biosynthesis	PWY-5337
starch degradation I	PWY-842
diploterol biosynthesis	PWY-6098
GDP-L-fucose biosynthesis I (from GDP-D-mannose)	PWY-66
crotonyl-CoA/ethylmalonyl-CoA/hydroxybutyryl-CoA cycle (engineered)	PWY-7854
protein NEDDylation	PWY-7899
sterculate biosynthesis	PWY-4942
rubber biosynthesis	PWY-5815
abscisic acid degradation to neophaseic acid	PWY-7640
flavonol acylglucoside biosynthesis I - kaempferol derivatives	PWY-7168
quercetin glucoside biosynthesis (<i>Allium</i>)	PWY-7129
tetrahydrofolate biosynthesis I	PWY-6614
vicianin bioactivation	PWY-7093
phaseollin biosynthesis	PWY-3042
calendate biosynthesis	PWY-5373
farnesene biosynthesis	PWY-5725
kaempferol glycoside biosynthesis (Arabidopsis)	PWY-5320
(<i>Z</i>)-butanethial-<i>S</i>-oxide biosynthesis	PWY-6900
gallotannin biosynthesis	PWY-5477
&beta;-alanine biosynthesis I	PWY-3981
polymethylated myricetin biosynthesis (tomato)	PWY-7160
palustric acid biosynthesis	PWY-5414
glycolate and glyoxylate degradation II	GLYOXDEG-PWY
L-proline biosynthesis IV	PWY-4281
pyrethrin I biosynthesis	PWY-6926
folate polyglutamylation II	PWY-2161B-PMN
pinosylvin metabolism	PWY-5045
"lipid-dependent phytate biosynthesis II (via Ins(1,3,4)P<sub>3</sub>)"	PWY-4562
botryococcenes and methylated squalene biosynthesis	PWY-6105
pyrimidine ribonucleotides interconversion	PWY-5687
L-alanine degradation II (to D-lactate)	ALACAT2-PWY
cytokinins 9-<i>N</i>-glucoside biosynthesis	PWY-2901
L-glutamate biosynthesis II	GLUTAMATE-SYN2-PWY
L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY
acetaldehyde biosynthesis II	PWY-6330
glycine biosynthesis	GLYSYN2-PWY
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147
theobromine biosynthesis I	PWY-5039
D-galactose detoxification	PWY-3821
"cyanidin 3,7-diglucoside polyacylation biosynthesis"	PWY-7464
malate-oxaloacetate shuttle I	PWY-7047
"violaxanthin, antheraxanthin and zeaxanthin interconversion"	PWY-5945
<i>Amaryllidacea</i> alkaloids biosynthesis	PWY-7826
scopoletin biosynthesis	PWY-6792
UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis II	UDPNACETYLGALSYN-PWY
sulfate activation for sulfonation	PWY-5340
cyanate degradation	CYANCAT-PWY
gibberellin A<sub>12</sub> biosynthesis	PWY-5034
phosphatidylglycerol biosynthesis II	PWY4FS-8
abscisic acid biosynthesis	PWY-695
9-lipoxygenase and 9-allene oxide synthase pathway	PWY-5407
cichoriin interconversion	PWY-7057
lotaustralin biosynthesis	PWY-5990
avenacin A-2 biosynthesis	PWY-7474
4-aminobutanoate degradation I	PWY-6535
crocetin biosynthesis	PWY-5397
violdelphin biosynthesis	PWY-7458
lutein biosynthesis	PWY-5947
L-selenocysteine biosynthesis II (archaea and eukaryotes)	PWY-6281
oleoresin sesquiterpene volatiles biosynthesis	PWY-5425
wighteone and luteone biosynthesis	PWY-4502
acyl carrier protein metabolism	PWY-6012
spermine and spermidine degradation II	PWY-6440
adenosylcobalamin salvage from cobalamin	PWY-6268
triacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-10
salicin biosynthesis	PWY-6766
putrescine biosynthesis III	PWY-46
flavin biosynthesis I (bacteria and plants)	RIBOSYN2-PWY
sesaminol glucoside biosynthesis	PWY-7139
sorgoleone biosynthesis	PWY-5987
chlorophyll <i>a</i> biosynthesis II	PWY-5064
dhurrin biosynthesis	PWY-861
coenzyme A biosynthesis I (bacteria)	COA-PWY
superpathway of anthocyanin biosynthesis (from delphinidin 3-<i>O</i>-glucoside)	PWY-5310
lupanine biosynthesis	PWY-5468
"D-<i>myo</i>-inositol (1,4,5)-trisphosphate biosynthesis"	PWY-6351
nitrite reduction (hemoglobin)	PWY-7683
glycolysis II (from fructose 6-phosphate)	PWY-5484
putrescine biosynthesis I	PWY-40
superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	THISYNARA-PWY
allantoin degradation to ureidoglycolate II (ammonia producing)	PWY-5698
oxalate degradation IV	PWY-6697
GDP-mannose biosynthesis	PWY-5659
jasmonoyl-amino acid conjugates biosynthesis I	PWY-6220
homospermidine biosynthesis I	PWY-5907
"dammara-20,24-diene biosynthesis"	PWY-6095
galactolipid biosynthesis I	PWY-401
ricinine degradation	PWY-6923
UDP-&alpha;-D-glucuronate biosynthesis (from <i>myo</i>-inositol)	PWY-4841
ethanol degradation II	PWY66-21
6-gingerol analog biosynthesis (engineered)	PWY-6920
"L-phenylalanine biosynthesis III (cytosolic, plants)"	PWY-7432
justicidin B biosynthesis	PWY-6824
chlorophyll <i>a</i> biosynthesis I	PWY-5086
noscapine biosynthesis	PWY-7138
zerumbone biosynthesis	PWY-6265
L-homoserine biosynthesis	HOMOSERSYN-PWY
raspberry ketone biosynthesis	PWY-5393
daphnin interconversion	PWY-7056
olivetol biosynthesis	PWY-7105
superpathway of allantoin degradation in plants	URDEGR-PWY
"superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	PWY-724
epiberberine biosynthesis	PWY-8031
cytokinins degradation	PWY-2841
methyl indole-3-acetate interconversion	PWY-6303
"L-ascorbate biosynthesis II (plants, L-gulose pathway)"	PWY4FS-11
baruol biosynthesis	PWY-6008
triacylglycerol degradation	LIPAS-PWY
aurone biosynthesis	PWY-1901
flavonol glucosylation I	PWY-6360
xylogalacturonan biosynthesis	PWY-5980
cholesterol biosynthesis I	PWY66-341
diacylsucrose biosynthesis (<i>Solanum</i>)	PWY18C3-9
gluconeogenesis I	GLUCONEO-PWY
glucosinolate biosynthesis from dihomomethionine	PWYQT-4471
CDP-diacylglycerol biosynthesis I	PWY-5667
methiin metabolism	PWY-7614
phenylpropanoid volatiles glycoconjugation (tomato)	PWY18C3-21
superpathway of hydrolyzable tannin biosynthesis	PWY-5478
taxadiene biosynthesis (engineered)	PWY-7392
superpathway of putrescine biosynthesis	PWY-6305
indole-3-acetate inactivation VIII	PWY-6219
guaiacol biosynthesis	PWY18C3-23
dihydroconiferyl alcohol biosynthesis	PWY-6302
isovitexin glycosides biosynthesis	PWY-6024
poly-hydroxy fatty acids biosynthesis	PWY-6710
choline biosynthesis I	PWY-3385
GDP-&alpha;-D-glucose biosynthesis	PWY-5661
NAD biosynthesis from nicotinamide	NAD-BIOSYNTHESIS-III
superpathway of acylsucrose biosynthesis (cultivated tomato)	PWY18C3-12
photosynthesis light reactions I (plastocyanin)	PWY-101
1D-<i>myo</i>-inositol hexakisphosphate biosynthesis III (<i>Spirodela polyrrhiza</i>)	PWY-4661
glutamate-glutamine shuttle	PWY-7061
"26,27-dehydrozymosterol metabolism"	PWY-6424
chitin degradation II (Vibrio)	PWY-6902
methylsalicylate biosynthesis	PWY18C3-22
glutathione biosynthesis	GLUTATHIONESYN-PWY
ethanol degradation I	ETOH-ACETYLCOA-ANA-PWY
cutin biosynthesis	PWY-321
polymethylated quercetin biosynthesis	PWY-7161
"2&alpha;,7&beta;-dihydroxylation of taxusin"	PWY-7065
CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	PWYQT-4429
glycolipid desaturation	PWY-782
urate conversion to allantoin I	PWY-5691
apigeninidin 5-<i>O</i>-glucoside biosynthesis	PWY-7253
guanosine nucleotides degradation II	PWY-6606
UDP-&alpha;-D-glucose biosynthesis	PWY-7343
linear furanocoumarin biosynthesis	PWY-5365
hydroxycinnamate sugar acid ester biosynthesis	PWY-7461
sophoraflavanone G biosynthesis	PWY-6914
fatty acid elongation -- saturated	FASYN-ELONG-PWY
B series fagopyritols biosynthesis	PWY-5379
luteolin triglucuronide degradation	PWY-7445
fatty acid &alpha;-oxidation I (plants)	PWY-2501
superpathway of phylloquinol biosynthesis	PWY-5863
superpathway of scopolin and esculin biosynthesis	PWY-7186
superpathway of diterpene resin acids biosynthesis	PWY-5416
aloin biosynthesis	PWY-6312
5-aminoimidazole ribonucleotide biosynthesis I	PWY-6121
alizarin biosynthesis	PWY-5802
"3,4-dihydroxymandelonitrile &beta;-<i>D</i>-glucose biosynthesis"	PWY-7095
&alpha;-linolenate biosynthesis I (plants and red algae)	PWY-5997
selenate reduction	PWY-6932
neoxanthin biosynthesis	PWY-6809
superpathway of nicotine biosynthesis	PWY-7342
formononetin biosynthesis	PWY-2321
hydroxylated fatty acid biosynthesis (plants)	PWY-6433
proanthocyanidins biosynthesis from flavanols	PWY-641
molybdopterin biosynthesis	PWY-6823
benzoyl-CoA biosynthesis	PWY-6458
glucosinolate biosynthesis from tetrahomomethionine	PWYQT-4473
resveratrol biosynthesis	PWY-84
chalcone 2'-<i>O</i>-glucoside biosynthesis	PWY-5339
geraniol and geranial biosynthesis	PWY-5829
hyperforin and adhyperforin biosynthesis	PWY-5808
extended VTC2 cycle	PWY4FS-13
kaempferide triglycoside biosynthesis	PWY-7166
adenosine 5'-phosphoramidate biosynthesis	PWY-6794
chlorophyll <i>a</i> degradation III	PWY-7164
linustatin bioactivation	PWY-7091
L-glutamine biosynthesis I	GLNSYN-PWY
L-phenylalanine degradation V	PWY-7158
superpathway of phospholipid biosynthesis II (plants)	PHOSLIPSYN2-PWY
epoxysqualene biosynthesis	PWY-5670
"(3<i>E</i>)-4,8-dimethylnona-1,3,7-triene biosynthesis I"	PWY-5434
L-lysine biosynthesis VI	PWY-5097
hydrogen production VIII	PWY-6785
acacetin biosynthesis	PWY-5119
phytochromobilin biosynthesis	PWY-7170
superpathway of gibberellin GA<sub>12</sub> biosynthesis	PWY-5053
nucleobase ascorbate transport I	PWY-6237
anthocyanidin acylglucoside and acylsambubioside biosynthesis	PWY-7679
monoterpene biosynthesis	PWY-3041
cellulose biosynthesis	PWY-1001
linamarin biosynthesis	PWY-3022
scopolin biosynthesis	PWY4FS-10
ppGpp metabolism	PPGPPMET-PWY
sesamin biosynthesis	PWY-5469
indican biosynthesis	PWY-6068
lysine degradation III	PWYQT-1
fructan biosynthesis	PWY-822
phosphatidylcholine biosynthesis I	PWY3O-450
neolinustatin bioactivation	PWY-7092
coniferyl alcohol 9-methyl ether biosynthesis	PWY-7643
gossypetin metabolism	PWY-7495
fenchol biosynthesis II	PWY-6445
oleate biosynthesis I (plants)	PWY-5147
"D-<i>myo</i>-inositol (1,4,5)-trisphosphate degradation"	PWY-6363
abscisic acid biosynthesis shunt	PWY4FS-17
hesperitin glycoside biosynthesis	PWY-5105
thalianol and derivatives biosynthesis	PWY-5992
tricetin methylation	PWY-6631
glucosinolate biosynthesis from trihomomethionine	PWYQT-4472
hypericin biosynthesis	PWY-5780
chorismate biosynthesis I	ARO-PWY
hydroxycinnamic acid serotonin amides biosynthesis	PWY-5473
paclitaxel biosynthesis	PWY-5660
hypoglycin biosynthesis	PWY-5826
UDP-&alpha;-D-xylose biosynthesis	PWY-4821
adenine and adenosine salvage VI	PWY-6619
isoprene biosynthesis I	PWY-6270
superpathway of pyrimidine ribonucleosides salvage	PWY-7196
sakuranetin biosynthesis	PWY-5116
anthocyanidin sambubioside biosynthesis	PWY-7678
glucosinolate activation	PWY-5267
phosphatidylcholine biosynthesis IV	PWY4FS-4
brassinosteroids inactivation	PWY-6546
cyanidin dimalonylglucoside biosynthesis	PWY-7452
uracil degradation I (reductive)	PWY-3982
cembratrienediol biosynthesis	PWY18C3-7
superpathway of indole-3-acetate conjugate biosynthesis	PWY-1782
oligomeric urushiol biosynthesis	PWY-5787
avenacin A-1 biosynthesis	PWY-7473
aromatic polyketides biosynthesis	PWY-6316
&alpha;-carotene biosynthesis	PWY-5946
putrescine biosynthesis II	PWY-43
superpathway of seleno-compound metabolism	PWY-6395
purine nucleotides degradation I (plants)	PWY-5044
spermine and spermidine degradation III	PWY-6441
shisonin biosynthesis	PWY-5284
3-amino-3-phenylpropanoyl-CoA biosynthesis	PWY-7064
superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121
<i>N</i>-methylanthraniloyl-&beta;-<i>D</i>-glucopyranose biosynthesis	PWY-7463
"fructose 2,6-bisphosphate biosynthesis"	PWY66-423
very long chain fatty acid biosynthesis I	PWY-5080
echinatin biosynthesis	PWY-6325
superpathway of polyamine biosynthesis	PWYQT-94
dimethylsulfoniopropanoate biosynthesis III (algae and phytoplankton)	PWY-6053
indole-3-acetate inactivation VI	PWY-5797
allantoin degradation to glyoxylate III	PWY-5705
adenosine nucleotides degradation I	PWY-6596
curcumene biosynthesis	PWY-6257
naringenin biosynthesis (engineered)	PWY-7397
L-citrulline biosynthesis	CITRULBIO-PWY
L-arginine degradation VI (arginase 2 pathway)	ARG-PRO-PWY
rosmarinic acid biosynthesis I	PWY-5048
caffeine biosynthesis II (via paraxanthine)	PWY-5038
lupulone and humulone biosynthesis	PWY-5132
sucrose biosynthesis I (from photosynthesis)	SUCSYN-PWY
folate polyglutamylation	PWY-2161
methylerythritol phosphate pathway II	PWY-7560
monolignol biosynthesis	PWY-361
pyridoxal 5'-phosphate salvage II (plants)	PWY-7204
superpathway of sucrose and starch metabolism I (non-photosynthetic tissue)	PWYQT-4466
hyperxanthone E biosynthesis	PWY-7169
dicranin biosynthesis	PWY-6603
geranyl acetate biosynthesis	PWY-5835
capsiconiate biosynthesis	PWY-6027
farnesylcysteine salvage pathway	PWY-6577
fenchone biosynthesis	PWY-6449
soybean saponin I biosynthesis	PWY-5203
superpathway of hyoscyamine (atropine) and scopolamine biosynthesis	PWY-7341
betanidin degradation	PWY-5461
betaxanthin biosynthesis (via dopamine)	PWY-5403
aerobic respiration III (alternative oxidase pathway)	PWY-4302
L-phenylalanine degradation III	PWY-5079
chlorophyll <i>a</i> degradation II	PWY-6927
(-)-glycinol biosynthesis	PWY-2761
<i>myo</i>-inositol biosynthesis	PWY-2301
linoleate biosynthesis I (plants)	PWY-5995
afrormosin conjugates interconversion	PWY-5926
sucrose degradation II (sucrose synthase)	PWY-3801
cocaine biosynthesis	PWY-5843
indole-3-acetate biosynthesis II	PWY-581
abscisic acid degradation to 7'-hydroxyabscisate	PWY-7642
&delta;-guaiene biosynthesis	PWY-6669
superpathway of guanosine nucleotides degradation (plants)	PWY-6595
pyruvate fermentation to (<i>S</i>)-lactate	PWY-5481
<i>cis</i>-vaccenate biosynthesis	PWY-5973
protein <i>N</i>-glycosylation initial phase (eukaryotic)	MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS
long-chain fatty acid activation	PWY-5143
phosphatidylcholine biosynthesis III	PWY4FS-3
very long chain fatty acid biosynthesis II	PWY-7036
oxalate biosynthesis	PWY-6699
"oryzalexin A, B, and C biosynthesis"	PWY-7489
(<i>R</i>)-canadine biosynthesis	PWY-7522
reductive TCA cycle I	P23-PWY
ternatin C5 biosynthesis	PWY-5295
santalene biosynthesis II	PWY-6836
indole-3-acetate activation I	PWY-1822
indole glucosinolate activation (herbivore attack)	PWYQT-4476
glycine cleavage	GLYCLEAV-PWY
vitamin E biosynthesis (tocopherols)	PWY-1422
indole-3-acetate biosynthesis I	PWYDQC-4
VTC2 cycle	PWY4FS-12
kaempferol triglucoside biosynthesis	PWY-5348
L-homomethionine biosynthesis	PWY-1186
4-hydroxyindole-3-carbonyl nitrile biosynthesis	PWY-8024
formaldehyde oxidation II (glutathione-dependent)	PWY-1801
calycosin 7-<i>O</i>-glucoside biosynthesis	PWY-7633
"1,3,5-trimethoxybenzene biosynthesis"	PWY-5765
